"Variable","OddsRatio","LowerCI","UpperCI"
"icd_neuroticstressrelated",0.855665941506054,0.450373275896391,1.62568305589668
"icd_affectivedisorders",0.298839653520765,0.104757291119838,0.852495683706155
"icd_behavioural",0.548798505604311,0.14548471188424,2.07018177960286
"icd_organicincldementia",2.47479574045789,0.760685463324995,8.05144077582016
"icd_childhoodonset",0.99690100151759,0.490976430199836,2.02415339250049
"icd_psychologicaldevelopment",2.41911620644604,1.28944196573923,4.53849291071807
"icd_mentalretardation",0.966035440522515,0.220691473234808,4.2286385543886
"icd_adultpersonality",1.10909543393418,0.267093661293584,4.60547313484
"icd_psychoactivesubstanceabuse",0.0563078084099885,0.00774657868307713,0.409286398247303
"icd_schizophreniadelusional",0.873094503461931,0.20425927233062,3.73199220420979
