"Coefficient","Estimate","LowerCI","UpperCI"
"hechovictimizante_tortura",15.1916425970398,12.2590148485586,18.1242703455209
"hechovictimizante_violenciasexual",9.43315625129553,8.70603228377077,10.1602802188203
"hechovictimizante_amenaza",9.66645294559187,9.28965101844563,10.0432548727381
"hechovictimizante_desplazamiento",-8.53342856230603,-8.70952920483872,-8.35732791977335
"hechovictimizante_homocidio",4.68085710363478,4.45025092109152,4.91146328617805
"hechovictimizante_hostigamientos",12.1437935315072,11.0675314611795,13.220055601835
"hechovictimizante_lesion_fis",17.6146741063043,15.6695795431716,19.559768669437
"hechovictimizante_despojo_tierras",13.3297110838691,12.2833617247182,14.3760604430201
"hechovictimizante_confinamiento",14.681840236411,12.5215203237936,16.8421601490284
"hechovictimizante_lesion_psic",10.4879505018213,7.81537673813993,13.1605242655028
"hechovictimizante_minas",11.5907494508922,7.60746683554376,15.5740320662407
"hechovictimizante_perdida_bienes",11.8047561214227,10.9717247918387,12.6377874510068
"hechovictimizante_secuestro",10.312432217565,8.8031099760751,11.8217544590549
"hechovictimizante_reclut_ninos",10.7597117681602,6.26500752458826,15.2544160117321
"hechovictimizante_desparacion",5.00845627707082,4.55642593509441,5.46048661904723
