"Variable","OddsRatio","LowerCI","UpperCI"
"hechovictimizante_tortura",1.11494297836054,0.987869990037214,1.25836178599639
"hechovictimizante_violenciasexual",0.683158502658609,0.646081593133446,0.72236315771088
"hechovictimizante_amenaza",0.95277928835454,0.927890114033955,0.978336075131591
"hechovictimizante_desplazamiento",0.979809205660318,0.965815305929891,0.994005865927323
"hechovictimizante_homocidio",1.06939581070988,1.04620617154625,1.09309945885105
"hechovictimizante_hostigamientos",1.11978857208077,1.06044550122718,1.18245251143186
"hechovictimizante_lesion_fis",0.890012695919654,0.7842928285394,1.00998322319656
"hechovictimizante_despojo_tierras",0.75400995096713,0.709652545445841,0.801139951946867
"hechovictimizante_confinamiento",0.682387154594933,0.6104080213071,0.762854045985572
"hechovictimizante_lesion_psic",1.06200963778677,0.945809594726674,1.19248575721831
"hechovictimizante_minas",0.90900829177668,0.73825925289458,1.11924919502059
"hechovictimizante_perdida_bienes",1.44833623405203,1.38413592915911,1.51551433835142
"hechovictimizante_secuestro",1.00618104574959,0.912939624409025,1.1089455093825
"hechovictimizante_reclut_ninos",0.464898217852588,0.335484375016328,0.644233738015349
"hechovictimizante_desparacion",1.17792294548273,1.12812106887401,1.22992336884516
