"Variable","OddsRatio","LowerCI","UpperCI"
"icd_neuroticstressrelated",0.881937492805869,0.814809486605913,0.954595833753339
"icd_affectivedisorders",0.988127551024209,0.900134229919586,1.08472272760956
"icd_behavioural",1.05868054234768,0.932369105811737,1.20210384895775
"icd_organicincldementia",1.2857530325565,1.06113406279231,1.55791894605479
"icd_childhoodonset",1.04926472548277,0.908088800947115,1.21238854943941
"icd_psychologicaldevelopment",1.09173307121274,0.936812941710614,1.27227223889887
"icd_mentalretardation",1.56739887206494,1.27332799588566,1.92938444147038
"icd_adultpersonality",0.945250919410478,0.734119777114444,1.21710288770366
"icd_psychoactivesubstanceabuse",1.23737910159956,1.00665916174492,1.52097859857685
"icd_schizophreniadelusional",0.908571159673289,0.760100197300042,1.08604307053509
