"session_var","Coefficient","Estimate","LowerCI","UpperCI"
"total","etnia_minYes",0.41052471278725,0.399405675677355,0.421643749897144
"individual","etnia_minYes",0.441731256101013,0.30504511111854,0.578417401083486
"group","etnia_minYes",-0.514038718916052,-1.02362474422715,-0.00445269360494926
"family","etnia_minYes",0.604313388510224,0.523449840307209,0.685176936713239
"community","etnia_minYes",0.431647347345377,0.328321811396296,0.534972883294459
