"session_var","Variable","OddsRatio","LowerCI","UpperCI"
"individual","mh_prevyes",1.23869200528311,1.18408092816879,1.2958218036036
"group","mh_prevyes",0.483550076270619,0.369519785080035,0.632769030785937
"family","mh_prevyes",1.3017023075848,1.25217200276215,1.35319180897983
"family","mh_prevyes",1.3017023075848,1.25217200276215,1.35319180897983
"community","mh_prevyes",0.526091765267439,0.501763741299742,0.551599333912158
