"session_var","Coefficient","Estimate","LowerCI","UpperCI"
"total","sexoFemale",0.409975793281573,0.403439576191894,0.416512010371251
"individual","sexoFemale",1.02640625389526,0.915474903027916,1.1373376047626
"group","sexoFemale",0.202299173016309,-0.112968256318503,0.517566602351121
"family","sexoFemale",0.640662148459645,0.576792704376509,0.704531592542782
"community","sexoFemale",0.431338939732125,0.342174637393133,0.520503242071117
