"Coefficient","Estimate","LowerCI","UpperCI"
"hechovictimizante_tortura",13.5006682546087,9.66756824767807,17.3337682615394
"hechovictimizante_violenciasexual",9.01114192123672,8.24813167416291,9.77415216831053
"hechovictimizante_amenaza",8.61862735357201,8.06834905924358,9.16890564790043
"hechovictimizante_desplazamiento",-5.50875438384055,-5.71056870976062,-5.30694005792048
"hechovictimizante_homocidio",1.47169922723506,1.24892662214548,1.69447183232464
"hechovictimizante_hostigamientos",11.0519702227526,9.7345337508597,12.3694066946455
"hechovictimizante_lesion_fis",17.4226337368952,14.0773807493464,20.7678867244439
"hechovictimizante_despojo_tierras",12.4192625511094,10.7841111335416,14.0544139686772
"hechovictimizante_confinamiento",16.9374838391916,11.717954060199,22.1570136181843
"hechovictimizante_lesion_psic",8.19203935327076,4.88344781869292,11.5006308878486
"hechovictimizante_minas",12.8626096934402,8.05242067278887,17.6727987140914
"hechovictimizante_perdida_bienes",8.21574241325642,7.14574191916528,9.28574290734755
"hechovictimizante_secuestro",6.73215337166189,5.28770735758371,8.17659938574007
"hechovictimizante_reclut_ninos",3.66110709152838,0.224762715433715,7.09745146762304
"hechovictimizante_desparacion",2.59721921247091,2.02657205132553,3.1678663736163
