"Variable","OddsRatio","LowerCI","UpperCI"
"icd_neuroticstressrelated",1.21023121483752,1.10334161549218,1.32747607160068
"icd_affectivedisorders",1.09223135036174,0.983334460276827,1.21318775137524
"icd_behavioural",0.699916435928463,0.593734458156651,0.825087731649813
"icd_organicincldementia",0.877192445167694,0.70979139079319,1.08407427286403
"icd_childhoodonset",0.747335812778003,0.621670108102717,0.898403847605098
"icd_psychologicaldevelopment",0.849553066934509,0.704478075699786,1.02450372613924
"icd_mentalretardation",0.536490803216464,0.410386840326359,0.701344082346688
"icd_adultpersonality",1.0885860495482,0.817581160501261,1.44942134741022
"icd_psychoactivesubstanceabuse",0.95022177110291,0.744893683832355,1.21214803384098
"icd_schizophreniadelusional",1.06644824151931,0.852901695208083,1.33346182594016
