"Variable","OddsRatio","LowerCI","UpperCI"
"hechovictimizante_tortura",1.72212638794968,1.51312585170813,1.95999512712355
"hechovictimizante_violenciasexual",2.13473409358025,2.03873339931141,2.23525530696318
"hechovictimizante_amenaza",1.25297889102404,1.21089185246138,1.29652875123454
"hechovictimizante_desplazamiento",0.665583758996308,0.654431753800981,0.676925802677932
"hechovictimizante_homocidio",1.39023363366725,1.3564763061621,1.42483104747181
"hechovictimizante_hostigamientos",1.24095696422775,1.1576485214347,1.33026057438992
"hechovictimizante_lesion_fis",2.05010516345549,1.80946605627621,2.32274662829336
"hechovictimizante_despojo_tierras",1.0217953349534,0.934334872769601,1.11744272525937
"hechovictimizante_confinamiento",1.095797439469,0.924771617404996,1.29845251059533
"hechovictimizante_lesion_psic",1.70124647607522,1.41555976611106,2.0445901625967
"hechovictimizante_minas",2.62049837915105,2.00784714248828,3.42008692286364
"hechovictimizante_perdida_bienes",1.01788117568686,0.947244131452431,1.09378570256119
"hechovictimizante_secuestro",1.69312850790538,1.53176853968371,1.87148650074367
"hechovictimizante_reclut_ninos",3.46641054533109,2.61406305911962,4.59667643703644
"hechovictimizante_desparacion",1.35988710309389,1.29791305786097,1.42482034675638
