"Variable","OddsRatio","LowerCI","UpperCI"
"hechovictimizante_tortura",0.618384003788453,0.554230149946307,0.689963864611992
"hechovictimizante_violenciasexual",0.635739090009683,0.609005901173575,0.663645770570534
"hechovictimizante_amenaza",0.98171840494373,0.959138741975987,1.00482962936074
"hechovictimizante_desplazamiento",1.38886809341311,1.37159236358187,1.4063614176617
"hechovictimizante_homocidio",0.675971412822032,0.663270823804986,0.688915198065402
"hechovictimizante_hostigamientos",0.804498515256912,0.765766498079495,0.845189574986326
"hechovictimizante_lesion_fis",0.576887898450877,0.518979029020691,0.641258372244943
"hechovictimizante_despojo_tierras",1.26178035914001,1.19910653352099,1.32772996410634
"hechovictimizante_confinamiento",1.34053108428049,1.22158353709857,1.47106074480213
"hechovictimizante_lesion_psic",0.5702579182329,0.514604358089161,0.631930313444756
"hechovictimizante_minas",0.592067272274922,0.493485002714119,0.71034307622544
"hechovictimizante_perdida_bienes",0.652206611205948,0.624660097172793,0.680967882574833
"hechovictimizante_secuestro",0.617354977392549,0.568019323569222,0.670975708566556
"hechovictimizante_reclut_ninos",0.632671713519692,0.514470351072924,0.778030252381262
"hechovictimizante_desparacion",0.628629543922994,0.605242947605234,0.652919798663366
