"Variable","OddsRatio","LowerCI","UpperCI"
"hechovictimizante_tortura",1.80705936914446,1.60919372544993,2.02925447195598
"hechovictimizante_violenciasexual",2.44184346618927,2.33678329087676,2.55162707498395
"hechovictimizante_amenaza",1.07379476584056,1.04290632798475,1.1055980467341
"hechovictimizante_desplazamiento",0.606851635390418,0.598248189182767,0.615578808318828
"hechovictimizante_homocidio",1.6950476212845,1.65988717151716,1.73095285494381
"hechovictimizante_hostigamientos",1.27125946779752,1.19898260207384,1.34789331527373
"hechovictimizante_lesion_fis",2.3034821915444,2.06670979492965,2.56738039359939
"hechovictimizante_despojo_tierras",0.976722088273374,0.91764276149893,1.03960503776307
"hechovictimizante_confinamiento",0.928315132688547,0.827418366723647,1.0415154173951
"hechovictimizante_lesion_psic",2.05723572261476,1.85403766662926,2.28270379538549
"hechovictimizante_minas",2.21324994698783,1.83517656460867,2.66921201060902
"hechovictimizante_perdida_bienes",1.30810938259706,1.24374579750767,1.37580376976341
"hechovictimizante_secuestro",1.96425479354234,1.80172425503776,2.14144694071025
"hechovictimizante_reclut_ninos",2.92575323298105,2.37843762073642,3.59901470850795
"hechovictimizante_desparacion",1.6807484420433,1.6128235051326,1.75153407452275
