"Variable","OddsRatio","LowerCI","UpperCI"
"icd_neuroticstressrelated",0.977665386711653,0.886909951928971,1.07770761427942
"icd_affectivedisorders",0.917884684541279,0.817414719649493,1.03070359985285
"icd_behavioural",1.43567568191921,1.241970847507,1.65959182358551
"icd_organicincldementia",0.713368785069832,0.56438809643511,0.901675685093967
"icd_childhoodonset",1.27776799004458,1.05437678980374,1.54848916646436
"icd_psychologicaldevelopment",0.85933633778586,0.689540190297217,1.07094401723112
"icd_mentalretardation",0.95350356713792,0.729508396523423,1.2462763374315
"icd_adultpersonality",0.994298488145457,0.71182131614056,1.3888731077746
"icd_psychoactivesubstanceabuse",0.731514358087581,0.541783655858409,0.987688074939148
"icd_schizophreniadelusional",1.11497603072869,0.912978251943576,1.36166611466702
