"session_var","Coefficient","Estimate","LowerCI","UpperCI"
"total","tipo_regimenSubsidised",0.301182319361887,0.294529433639838,0.307835205083936
"individual","tipo_regimenSubsidised",-0.417193975216403,-0.556270042538458,-0.278117907894349
"group","tipo_regimenSubsidised",-0.148204799672302,-0.740374281857792,0.443964682513187
"family","tipo_regimenSubsidised",0.0351835284082806,-0.0411888814842688,0.11155593830083
"community","tipo_regimenSubsidised",0.0351135330353044,-0.0786078382324492,0.148834904303058
