"Variable","OddsRatio","LowerCI","UpperCI"
"hechovictimizante_tortura",1.94347253592087e-05,1.64911694221745e-05,2.2903685003684e-05
"hechovictimizante_violenciasexual",1.96924577860091,1.44592727293641,2.68196679675469
"hechovictimizante_amenaza",0.718278817455224,0.480931356267392,1.07276111836224
"hechovictimizante_desplazamiento",1.48219644908325,1.20357411654518,1.82531867666043
"hechovictimizante_homocidio",0.506291570582228,0.330887158664792,0.774678459801752
"hechovictimizante_hostigamientos",0.301628367993653,0.0759530030702633,1.19784167446743
"hechovictimizante_lesion_fis",0.778456089697219,0.204856682176328,2.95813579107506
"hechovictimizante_despojo_tierras",1.55225522099195,0.343819448367049,7.00802785456304
"hechovictimizante_confinamiento",0.575841527679934,0.102184486924678,3.24504702210994
"hechovictimizante_lesion_psic",1.50969426856675,0.204479749376266,11.146222506119
"hechovictimizante_minas",0.17402119920665,0.0240830634887228,1.25745538093611
"hechovictimizante_perdida_bienes",0.0186039622080841,0.00261070106234331,0.132572593175093
"hechovictimizante_secuestro",0.429478284219072,0.0603813642205336,3.05477690007264
"hechovictimizante_reclut_ninos",0.500297020775863,0.0697919806478027,3.58633050207158
"hechovictimizante_desparacion",0.19199895063494,0.0542598498518496,0.679389956764899
