"Variable","OddsRatio","LowerCI","UpperCI"
"hechovictimizante_tortura",0.716284725483895,0.631257824324253,0.812764275057917
"hechovictimizante_violenciasexual",0.738821104678072,0.706075441274715,0.773085413836605
"hechovictimizante_amenaza",0.820584715488501,0.79637980096471,0.845525306490266
"hechovictimizante_desplazamiento",1.17421948798514,1.15594065866465,1.19278735947992
"hechovictimizante_homocidio",0.927902283063235,0.906702448097447,0.949597796631767
"hechovictimizante_hostigamientos",0.859557391840823,0.807614890855726,0.914840622967398
"hechovictimizante_lesion_fis",0.66783994738446,0.590369903724259,0.755475833894801
"hechovictimizante_despojo_tierras",1.40077640722993,1.29425759626006,1.51606183245281
"hechovictimizante_confinamiento",1.27646650262753,1.10520557090494,1.47426576125204
"hechovictimizante_lesion_psic",0.769580651279952,0.639849509075633,0.925615117967477
"hechovictimizante_minas",0.528246253580056,0.398575526798771,0.700103457586964
"hechovictimizante_perdida_bienes",0.842129007476922,0.791057197917145,0.896498087750597
"hechovictimizante_secuestro",0.791154312594802,0.71868969660772,0.870925448481836
"hechovictimizante_reclut_ninos",0.489460700766742,0.365914940842236,0.654719856597388
"hechovictimizante_desparacion",0.892829373160078,0.853757012604144,0.933689888116942
