"Variable","OddsRatio","LowerCI","UpperCI"
"hechovictimizante_tortura",0.928156866675288,0.809224839843973,1.06456837054407
"hechovictimizante_violenciasexual",0.625121870275975,0.589853735208767,0.662498733790378
"hechovictimizante_amenaza",1.09251540980954,1.05782621297716,1.12834216625436
"hechovictimizante_desplazamiento",1.19003657492194,1.16937731365736,1.2110608210986
"hechovictimizante_homocidio",0.78095648391236,0.760658132516318,0.801796501862382
"hechovictimizante_hostigamientos",1.013709297782,0.948999217129195,1.08283181046057
"hechovictimizante_lesion_fis",0.811500323438139,0.707500947264091,0.930787128252977
"hechovictimizante_despojo_tierras",0.624266779674578,0.570925710153531,0.682591456777221
"hechovictimizante_confinamiento",0.666999600727853,0.564166865245457,0.788576030918715
"hechovictimizante_lesion_psic",0.824387658663416,0.678506112600686,1.00163432448915
"hechovictimizante_minas",0.862825692471905,0.64827688530343,1.14837994762249
"hechovictimizante_perdida_bienes",1.24573812515399,1.16811711394974,1.32851702789875
"hechovictimizante_secuestro",0.827316256875916,0.739981927371806,0.924957980152497
"hechovictimizante_reclut_ninos",0.587550198285311,0.378438190484664,0.912210353460871
"hechovictimizante_desparacion",0.837451235154433,0.796118996891292,0.880929325892533
